Date,Time,Latitude,Longitude,Depth,Mag,Magt,Nst,Gap,Clo,RMS,SRC,EventID
 1969/10/02 , 04:56:45.30 , 38.4978 , -122.6640 , 0.22 , 5.60 , ML , 38 , 104 , 52 , 0.22 , NCSN ,-1003132
 1969/10/02 , 06:19:56.39 , 38.4500 , -122.7535 , 5.14 , 5.70 , ML , 53 , 139 , 58 , 0.22 , NCSN ,-1003135
 1972/02/24 , 15:56:50.99 , 36.5903 , -121.1905 , 4.18 , 5.10 , ML , 10 , 128 , 6 , 0.06 , NCSN ,-1009260
 1974/11/28 , 23:01:24.59 , 36.9202 , -121.4673 , 5.48 , 5.20 , ML , 51 , 61 , 4 , 0.13 , NCSN ,-1021953
 1975/06/07 , 08:46:23.51 , 40.5415 , -124.2763 , 23.48 , 5.30 , ML , 15 , 176 , 5 , 0.04 , NCSN ,-1024134
 1975/08/01 , 20:20:04.82 , 39.4322 , -121.5458 , 4.97 , 5.70 , ML , 24 , 116 , 14 , 0.07 , NCSN ,-1025002
 1975/08/02 , 20:22:16.57 , 39.4493 , -121.4795 , 2.03 , 5.10 , ML , 7 , 102 , 2 , 0.06 , NCSN ,-1025150
 1975/08/02 , 20:58:56.01 , 39.4378 , -121.4848 , 1.82 , 5.20 , ML , 7 , 146 , 2 , 0.03 , NCSN ,-1025155
 1975/11/16 , 17:29:40.25 , 40.6247 , -125.3147 , 5.00 , 5.00 , ML , 13 , 319 , 91 , 0.15 , NCSN ,-1027524
 1976/11/26 , 11:19:32.07 , 41.0352 , -124.9497 , 41.86 , 6.30 , ML , 13 , 318 , 73 , 0.09 , NCSN ,-1032452
 1978/10/04 , 16:42:47.75 , 37.5188 , -118.7038 , 5.00 , 5.18 , Md , 29 , 174 , 60 , 0.20 , NCSN ,-1042598
 1978/10/04 , 17:39:02.46 , 37.5528 , -118.6553 , 18.01 , 5.10 , ML , 142 , 89 , 54 , 0.40 , NCSN ,-1042600
 1978/12/03 , 06:48:08.69 , 40.6255 , -125.7258 , 102.97 , 5.07 , Md , 13 , 317 , 123 , 0.17 , NCSN ,-1043606
 1979/02/03 , 09:58:16.99 , 40.8740 , -124.3248 , 23.75 , 5.20 , ML , 15 , 236 , 20 , 0.08 , NCSN ,-1044466
 1979/02/22 , 15:57:28.60 , 39.9862 , -120.1127 , 8.82 , 5.30 , ML , 44 , 77 , 20 , 0.13 , NCSN ,-1044775
 1979/04/07 , 06:18:54.62 , 41.1228 , -124.9940 , 5.00 , 5.34 , Md , 10 , 318 , 85 , 0.13 , NCSN ,-1045310
 1979/08/06 , 17:05:22.93 , 37.1038 , -121.5123 , 8.62 , 5.80 , ML , 90 , 97 , 6 , 0.06 , NCSN ,-1046969
 1979/10/07 , 20:54:40.75 , 38.2482 , -119.3257 , 5.00 , 5.00 , ML , 12 , 139 , 52 , 0.06 , NCSN ,-1048184
 1980/01/24 , 19:00:08.58 , 37.8400 , -121.7678 , 14.79 , 5.80 , ML , 76 , 69 , 5 , 0.13 , NCSN ,-1050047
 1980/01/24 , 19:01:01.54 , 37.8110 , -121.7750 , 6.90 , 5.10 , ML , 10 , 149 , 3 , 0.21 , NCSN ,-1050048
 1980/01/27 , 02:33:35.34 , 37.7490 , -121.7063 , 14.43 , 5.40 , ML , 73 , 102 , 9 , 0.10 , NCSN ,-1050444
 1980/03/03 , 14:17:03.33 , 40.4137 , -125.1462 , 9.27 , 5.10 , ML , 30 , 288 , 69 , 0.10 , NCSN ,-1051343
 1980/05/25 , 16:33:44.00 , 37.5903 , -118.8310 , 9.01 , 6.10 , ML , 12 , 159 , 1 , 0.15 , NCSN ,-1053051
 1980/05/25 , 16:49:27.16 , 37.6768 , -118.8997 , 8.67 , 6.00 , ML , 44 , 55 , 7 , 1.35 , NCSN ,-1053053
 1980/05/25 , 19:44:50.91 , 37.5538 , -118.8070 , 14.20 , 6.10 , ML , 7 , 191 , 4 , 0.10 , NCSN ,-1053062
 1980/05/25 , 20:35:47.93 , 37.6187 , -118.8348 , 6.95 , 5.70 , ML , 5 , 182 , 12 , 0.04 , NCSN ,-1053066
 1980/05/25 , 20:59:22.37 , 37.6018 , -118.8198 , 16.56 , 5.00 , ML , 6 , 92 , 1 , 0.02 , NCSN ,-1053067
 1980/05/26 , 12:24:24.97 , 37.5687 , -118.8672 , 9.33 , 5.10 , ML , 11 , 204 , 6 , 0.07 , NCSN ,-1053091
 1980/05/26 , 18:57:55.59 , 37.5207 , -118.8762 , 4.40 , 5.70 , ML , 13 , 211 , 9 , 0.03 , NCSN ,-1053113
 1980/05/27 , 14:50:56.81 , 37.5033 , -118.8055 , 16.09 , 6.20 , ML , 20 , 183 , 5 , 0.12 , NCSN ,-1053185
 1980/06/29 , 07:46:13.24 , 38.0132 , -118.6633 , 9.65 , 5.00 , ML , 20 , 78 , 11 , 0.14 , NCSN ,-1054090
 1980/08/01 , 16:38:55.88 , 37.5622 , -118.8732 , 6.78 , 5.40 , ML , 14 , 180 , 5 , 0.09 , NCSN ,-1054759
 1980/09/07 , 01:30:42.04 , 38.0703 , -118.5763 , 9.47 , 5.10 , ML , 13 , 95 , 18 , 0.07 , NCSN ,-1055536
 1980/09/07 , 04:36:37.47 , 38.0652 , -118.5893 , 10.46 , 5.50 , ML , 13 , 96 , 16 , 0.08 , NCSN ,-1055540
 1980/09/07 , 06:48:09.88 , 38.0648 , -118.5952 , 10.36 , 5.30 , ML , 13 , 110 , 16 , 0.07 , NCSN ,-1055548
 1980/11/08 , 10:27:33.14 , 41.0847 , -124.6178 , 14.15 , 6.69 , Md , 100 , 226 , 53 , 0.23 , NCSN ,-1056783
 1980/11/28 , 18:21:13.04 , 39.2515 , -120.4538 , 7.11 , 5.10 , ML , 221 , 76 , 38 , 0.33 , NCSN ,-1057595
 1980/12/24 , 13:29:31.64 , 41.2990 , -124.7443 , 3.14 , 5.00 , ML , 12 , 317 , 69 , 0.16 , NCSN ,-1058490
 1980/12/28 , 22:58:08.77 , 38.1637 , -118.3667 , 8.09 , 5.00 , ML , 12 , 135 , 15 , 0.07 , NCSN ,-1058640
 1981/09/30 , 11:53:26.19 , 37.5838 , -118.8645 , 5.58 , 5.90 , ML , 17 , 83 , 4 , 0.07 , NCSN ,-1068075
 1982/02/06 , 12:02:01.63 , 41.0795 , -125.1630 , 5.36 , 5.20 , ML , 55 , 295 , 91 , 0.19 , NCSN ,-1071859
 1982/04/15 , 21:52:08.30 , 38.0637 , -118.5620 , 23.31 , 5.10 , ML , 48 , 137 , 83 , 0.18 , NCSN ,-1073758
 1982/09/24 , 07:40:24.10 , 37.8533 , -118.1565 , 11.73 , 5.50 , ML , 27 , 103 , 17 , 0.09 , NCSN ,-1079456
 1982/10/25 , 22:26:03.60 , 36.3198 , -120.5062 , 11.92 , 5.40 , ML , 61 , 88 , 12 , 0.11 , NCSN ,-1080786
 1983/01/07 , 01:38:10.04 , 37.6215 , -118.9018 , 7.00 , 5.40 , ML , 5 , 188 , 18 , 0.00 , NCSN ,-1084030
 1983/01/07 , 03:24:18.97 , 37.6287 , -118.9350 , 6.09 , 5.30 , ML , 11 , 110 , 3 , 0.04 , NCSN ,-1084082
